experiment,variant,branch,threads,initial_buckets,total_ops,repeat,ms,final_buckets,final_size
resize_focus,locked_dynamic,main,1,1024,16384,1,31.219,32768,16384
resize_focus,locked_dynamic,main,1,1024,16384,2,31.870,32768,16384
resize_focus,locked_dynamic,main,1,1024,16384,3,31.393,32768,16384
resize_focus,locked_dynamic,main,8,1024,16384,1,35.458,32768,16384
resize_focus,locked_dynamic,main,8,1024,16384,2,37.627,32768,16384
resize_focus,locked_dynamic,main,8,1024,16384,3,39.312,32768,16384
resize_focus,locked_dynamic,main,16,1024,16384,1,38.318,32768,16384
resize_focus,locked_dynamic,main,16,1024,16384,2,37.466,32768,16384
resize_focus,locked_dynamic,main,16,1024,16384,3,39.685,32768,16384
resize_focus,locked_dynamic,main,1,4096,65536,1,125.416,131072,65536
resize_focus,locked_dynamic,main,1,4096,65536,2,128.407,131072,65536
resize_focus,locked_dynamic,main,1,4096,65536,3,127.507,131072,65536
resize_focus,locked_dynamic,main,8,4096,65536,1,145.831,131072,65536
resize_focus,locked_dynamic,main,8,4096,65536,2,149.427,131072,65536
resize_focus,locked_dynamic,main,8,4096,65536,3,146.250,131072,65536
resize_focus,locked_dynamic,main,16,4096,65536,1,152.413,131072,65536
resize_focus,locked_dynamic,main,16,4096,65536,2,155.287,131072,65536
resize_focus,locked_dynamic,main,16,4096,65536,3,148.910,131072,65536
resize_focus,locked_dynamic,main,1,16384,262144,1,504.268,524288,262144
resize_focus,locked_dynamic,main,1,16384,262144,2,504.741,524288,262144
resize_focus,locked_dynamic,main,1,16384,262144,3,506.308,524288,262144
resize_focus,locked_dynamic,main,8,16384,262144,1,573.214,524288,262144
resize_focus,locked_dynamic,main,8,16384,262144,2,574.772,524288,262144
resize_focus,locked_dynamic,main,8,16384,262144,3,591.675,524288,262144
resize_focus,locked_dynamic,main,16,16384,262144,1,624.736,524288,262144
resize_focus,locked_dynamic,main,16,16384,262144,2,611.353,524288,262144
resize_focus,locked_dynamic,main,16,16384,262144,3,604.382,524288,262144
resize_focus,lockfree_chaining,lock-free,1,1024,16384,1,5.397,1024,16384
resize_focus,lockfree_chaining,lock-free,1,1024,16384,2,5.358,1024,16384
resize_focus,lockfree_chaining,lock-free,1,1024,16384,3,5.399,1024,16384
resize_focus,lockfree_chaining,lock-free,8,1024,16384,1,6.388,1024,16384
resize_focus,lockfree_chaining,lock-free,8,1024,16384,2,6.230,1024,16384
resize_focus,lockfree_chaining,lock-free,8,1024,16384,3,6.200,1024,16384
resize_focus,lockfree_chaining,lock-free,16,1024,16384,1,6.218,1024,16384
resize_focus,lockfree_chaining,lock-free,16,1024,16384,2,6.426,1024,16384
resize_focus,lockfree_chaining,lock-free,16,1024,16384,3,6.777,1024,16384
resize_focus,lockfree_chaining,lock-free,1,4096,65536,1,22.626,4096,65536
resize_focus,lockfree_chaining,lock-free,1,4096,65536,2,22.704,4096,65536
resize_focus,lockfree_chaining,lock-free,1,4096,65536,3,22.639,4096,65536
resize_focus,lockfree_chaining,lock-free,8,4096,65536,1,23.607,4096,65536
resize_focus,lockfree_chaining,lock-free,8,4096,65536,2,15.637,4096,65536
resize_focus,lockfree_chaining,lock-free,8,4096,65536,3,23.918,4096,65536
resize_focus,lockfree_chaining,lock-free,16,4096,65536,1,23.388,4096,65536
resize_focus,lockfree_chaining,lock-free,16,4096,65536,2,23.670,4096,65536
resize_focus,lockfree_chaining,lock-free,16,4096,65536,3,24.322,4096,65536
resize_focus,lockfree_chaining,lock-free,1,16384,262144,1,109.371,16384,262144
resize_focus,lockfree_chaining,lock-free,1,16384,262144,2,108.222,16384,262144
resize_focus,lockfree_chaining,lock-free,1,16384,262144,3,107.675,16384,262144
resize_focus,lockfree_chaining,lock-free,8,16384,262144,1,94.692,16384,262144
resize_focus,lockfree_chaining,lock-free,8,16384,262144,2,104.937,16384,262144
resize_focus,lockfree_chaining,lock-free,8,16384,262144,3,97.264,16384,262144
resize_focus,lockfree_chaining,lock-free,16,16384,262144,1,100.390,16384,262144
resize_focus,lockfree_chaining,lock-free,16,16384,262144,2,108.237,16384,262144
resize_focus,lockfree_chaining,lock-free,16,16384,262144,3,91.021,16384,262144
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,1024,16384,1,13.270,32768,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,1024,16384,2,13.229,32768,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,1024,16384,3,13.300,32768,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,1024,16384,1,5.047,4096,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,1024,16384,2,5.246,4096,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,1024,16384,3,8.156,4096,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,1024,16384,1,7.172,8192,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,1024,16384,2,7.175,4096,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,1024,16384,3,7.071,8192,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,4096,65536,1,46.203,131072,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,4096,65536,2,46.120,131072,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,4096,65536,3,46.309,131072,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,4096,65536,1,28.877,16384,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,4096,65536,2,27.727,16384,65536
