variant,branch,description,workload,buckets,threads,key_space,total_ops,repeat,ms,mops
locked_dynamic,main,Lock-based dynamic resizing,put,65536,1,16384,16384,1,7.170,2.285
locked_dynamic,main,Lock-based dynamic resizing,put,65536,1,16384,16384,2,7.106,2.306
locked_dynamic,main,Lock-based dynamic resizing,put,65536,1,16384,16384,3,6.670,2.456
locked_dynamic,main,Lock-based dynamic resizing,put,65536,2,16384,16384,1,7.802,2.100
locked_dynamic,main,Lock-based dynamic resizing,put,65536,2,16384,16384,2,7.622,2.150
locked_dynamic,main,Lock-based dynamic resizing,put,65536,2,16384,16384,3,7.678,2.134
locked_dynamic,main,Lock-based dynamic resizing,put,65536,4,16384,16384,1,9.777,1.676
locked_dynamic,main,Lock-based dynamic resizing,put,65536,4,16384,16384,2,8.089,2.026
locked_dynamic,main,Lock-based dynamic resizing,put,65536,4,16384,16384,3,8.877,1.846
locked_dynamic,main,Lock-based dynamic resizing,put,65536,8,16384,16384,1,9.960,1.645
locked_dynamic,main,Lock-based dynamic resizing,put,65536,8,16384,16384,2,9.869,1.660
locked_dynamic,main,Lock-based dynamic resizing,put,65536,8,16384,16384,3,8.691,1.885
locked_dynamic,main,Lock-based dynamic resizing,put,65536,16,16384,16384,1,11.480,1.427
locked_dynamic,main,Lock-based dynamic resizing,put,65536,16,16384,16384,2,9.501,1.725
locked_dynamic,main,Lock-based dynamic resizing,put,65536,16,16384,16384,3,11.536,1.420
locked_dynamic,main,Lock-based dynamic resizing,get,65536,1,16384,65536,1,9.897,6.622
locked_dynamic,main,Lock-based dynamic resizing,get,65536,1,16384,65536,2,9.786,6.697
locked_dynamic,main,Lock-based dynamic resizing,get,65536,1,16384,65536,3,9.858,6.648
locked_dynamic,main,Lock-based dynamic resizing,get,65536,2,16384,65536,1,14.643,4.476
locked_dynamic,main,Lock-based dynamic resizing,get,65536,2,16384,65536,2,26.584,2.465
locked_dynamic,main,Lock-based dynamic resizing,get,65536,2,16384,65536,3,22.523,2.910
locked_dynamic,main,Lock-based dynamic resizing,get,65536,4,16384,65536,1,25.131,2.608
locked_dynamic,main,Lock-based dynamic resizing,get,65536,4,16384,65536,2,23.163,2.829
locked_dynamic,main,Lock-based dynamic resizing,get,65536,4,16384,65536,3,19.512,3.359
locked_dynamic,main,Lock-based dynamic resizing,get,65536,8,16384,65536,1,24.860,2.636
locked_dynamic,main,Lock-based dynamic resizing,get,65536,8,16384,65536,2,19.107,3.430
locked_dynamic,main,Lock-based dynamic resizing,get,65536,8,16384,65536,3,20.234,3.239
locked_dynamic,main,Lock-based dynamic resizing,get,65536,16,16384,65536,1,27.078,2.420
