variant,workload,buckets,threads,key_space,total_ops,samples,median_ms,mean_ms,best_ms,median_mops
locked_dynamic,get,65536,1,16384,65536,3,9.858,9.847,9.786,6.648
locked_dynamic,get,65536,2,16384,65536,3,22.523,21.250,14.643,2.910
locked_dynamic,get,65536,4,16384,65536,3,23.163,22.602,19.512,2.829
locked_dynamic,get,65536,8,16384,65536,3,20.234,21.400,19.107,3.239
locked_dynamic,get,65536,16,16384,65536,3,25.593,25.920,25.088,2.561
locked_dynamic,get,262144,1,65536,262144,3,38.883,39.636,38.082,6.742
locked_dynamic,get,262144,2,65536,262144,3,99.656,101.831,82.518,2.630
locked_dynamic,get,262144,4,65536,262144,3,102.784,92.068,68.038,2.550
locked_dynamic,get,262144,8,65536,262144,3,89.564,89.699,83.994,2.927
locked_dynamic,get,262144,16,65536,262144,3,94.681,94.464,92.287,2.769
locked_dynamic,get,1048576,1,262144,1048576,3,156.048,156.480,149.859,6.720
locked_dynamic,get,1048576,2,262144,1048576,3,288.230,285.004,259.444,3.638
locked_dynamic,get,1048576,4,262144,1048576,3,315.708,289.116,232.886,3.321
locked_dynamic,get,1048576,8,262144,1048576,3,346.114,367.314,343.494,3.030
locked_dynamic,get,1048576,16,262144,1048576,3,462.598,464.217,401.426,2.267
locked_dynamic,mixed,65536,1,16384,65536,3,14.050,14.027,13.978,4.664
locked_dynamic,mixed,65536,2,16384,65536,3,25.948,26.088,22.709,2.526
locked_dynamic,mixed,65536,4,16384,65536,3,25.746,26.248,23.974,2.545
locked_dynamic,mixed,65536,8,16384,65536,3,28.551,32.021,27.525,2.295
locked_dynamic,mixed,65536,16,16384,65536,3,38.672,38.915,38.403,1.695
locked_dynamic,mixed,262144,1,65536,262144,3,55.760,55.767,54.986,4.701
locked_dynamic,mixed,262144,2,65536,262144,3,78.628,84.077,76.985,3.334
locked_dynamic,mixed,262144,4,65536,262144,3,98.353,96.968,82.958,2.665
locked_dynamic,mixed,262144,8,65536,262144,3,112.916,112.990,111.378,2.322
locked_dynamic,mixed,262144,16,65536,262144,3,117.807,111.842,99.340,2.225
locked_dynamic,mixed,1048576,1,262144,1048576,3,255.275,246.602,227.012,4.108
locked_dynamic,mixed,1048576,2,262144,1048576,3,289.186,292.156,279.485,3.626
locked_dynamic,mixed,1048576,4,262144,1048576,3,397.761,395.067,367.630,2.636
locked_dynamic,mixed,1048576,8,262144,1048576,3,403.617,413.465,364.250,2.598
locked_dynamic,mixed,1048576,16,262144,1048576,3,448.699,463.318,448.092,2.337
locked_dynamic,put,65536,1,16384,16384,3,7.106,6.982,6.670,2.306
